[ 2026-07-13 13:50:24,637 ] 20 root - INFO - Initiate the data ingestion
[ 2026-07-13 13:50:26,289 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-07-13 13:50:26,289 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-13 13:50:26,290 ] 75 root - INFO - Exporting train and test file path.
[ 2026-07-13 13:50:26,329 ] 84 root - INFO - Exported train and test file path.
[ 2026-07-13 13:50:26,329 ] 22 root - INFO - Data Initiation Completed
[ 2026-07-13 13:50:26,334 ] 26 root - INFO - Initiate the data Validation
[ 2026-07-13 13:50:26,462 ] 32 root - INFO - Required number of columns:2
[ 2026-07-13 13:50:26,462 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-13 13:50:26,463 ] 32 root - INFO - Required number of columns:2
[ 2026-07-13 13:50:26,463 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-13 13:50:26,574 ] 28 root - INFO - data Validation Completed
[ 2026-07-13 13:50:26,575 ] 31 root - INFO - data Transformation started
[ 2026-07-13 13:50:26,575 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-07-13 13:50:26,575 ] 65 root - INFO - Starting data transformation
[ 2026-07-13 13:50:26,594 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-07-13 13:50:26,594 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-13 13:50:26,606 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-13 13:50:26,608 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-13 13:50:26,608 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-13 13:50:26,610 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-13 13:50:26,611 ] 35 root - INFO - data Transformation completed
[ 2026-07-13 13:50:26,611 ] 37 root - INFO - Model Training sstared
