[ 2026-07-13 13:35:53,371 ] 20 root - INFO - Initiate the data ingestion
[ 2026-07-13 13:35:55,203 ] 65 root - INFO - Performed train test split on the dataframe
[ 2026-07-13 13:35:55,203 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-13 13:35:55,204 ] 75 root - INFO - Exporting train and test file path.
[ 2026-07-13 13:35:55,241 ] 84 root - INFO - Exported train and test file path.
[ 2026-07-13 13:35:55,242 ] 22 root - INFO - Data Initiation Completed
[ 2026-07-13 13:35:55,271 ] 26 root - INFO - Initiate the data Validation
[ 2026-07-13 13:35:55,387 ] 32 root - INFO - Required number of columns:2
[ 2026-07-13 13:35:55,387 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-13 13:35:55,388 ] 32 root - INFO - Required number of columns:2
[ 2026-07-13 13:35:55,389 ] 33 root - INFO - Data frame has columns:31
[ 2026-07-13 13:35:55,489 ] 28 root - INFO - data Validation Completed
[ 2026-07-13 13:35:55,489 ] 31 root - INFO - data Transformation started
[ 2026-07-13 13:35:55,489 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2026-07-13 13:35:55,489 ] 65 root - INFO - Starting data transformation
[ 2026-07-13 13:35:55,509 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2026-07-13 13:35:55,509 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-13 13:35:55,521 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-13 13:35:55,523 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-13 13:35:55,523 ] 46 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-13 13:35:55,525 ] 50 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-13 13:35:55,526 ] 35 root - INFO - data Transformation completed
[ 2026-07-13 13:35:55,526 ] 37 root - INFO - Model Training sstared
